league,season,team,player,nation,pos,age,born,matches,starts,minutes,90s,goals,assists,g_a,g_pk,pk,pkatt,yellow_cards,red_cards,goals_90,assists_90,g_a_90,g_pk_90,g_a_pk_90,player_short,player_name,total_injuries,injury_types,injured
ENG-Premier League,2223,Arsenal,Aaron Ramsdale,ENG,GK,24,1998,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,A. Ramsdale,,0.0,None,0
ENG-Premier League,2223,Arsenal,Albert Sambi Lokonga,BEL,MF,22,1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A. Sambi Lokonga,,0.0,None,0
ENG-Premier League,2223,Arsenal,Ben White,ENG,DF,24,1997,38,36,3055,33.9,2,5,7,2,0,0,5,0,0.06,0.15,0.21,0.06,0.21,B. White,,0.0,None,0
ENG-Premier League,2223,Arsenal,Bukayo Saka,ENG,"FW,MF",20,2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,0.4,0.31,0.71,0.34,0.65,B. Saka,B. Saka,3.0,"Leg Injury, Injury, Muscle Injury",1
ENG-Premier League,2223,Arsenal,Cédric Soares,POR,"DF,MF",30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C. Soares,C. Soares,1.0,Loan agreement,1
ENG-Premier League,2223,Arsenal,Eddie Nketiah,ENG,FW,23,1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,0.33,0.08,0.41,0.33,0.41,E. Nketiah,E. Nketiah,5.0,"Injury, Ankle Injury",1
ENG-Premier League,2223,Arsenal,Emile Smith Rowe,ENG,MF,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.0,1.05,1.05,0.0,1.05,E. Smith Rowe,E. Smith Rowe,22.0,"Muscle Injury, Groin Injury, Thigh Injury, Knee Injury, Injury",1
ENG-Premier League,2223,Arsenal,Ethan Nwaneri,ENG,MF,15,2007,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E. Nwaneri,,0.0,None,0
ENG-Premier League,2223,Arsenal,Fabio Vieira,POR,MF,22,2000,22,3,514,5.7,1,2,3,1,0,0,0,0,0.18,0.35,0.53,0.18,0.53,F. Vieira,F. Vieira,15.0,"Ankle Injury, Red Card, Groin Injury",1
ENG-Premier League,2223,Arsenal,Gabriel Jesus,BRA,FW,25,1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,0.48,0.26,0.74,0.44,0.7,G. Jesus,G. Jesus,12.0,"Knee Injury, Convalescence",1
